Plant ID,Daily Capacity,capacity_share,scaled_capacity
PLANT16,457,0.20829535095715587,5819482.221103008
PLANT12,209,0.09525979945305378,2661426.2236554236
PLANT09,11,0.005013673655423883,140075.06440291702
PLANT03,1013,0.4617137648131267,12899640.021832269
PLANT13,490,0.22333637192342753,6239707.414311758
PLANT08,14,0.006381039197812215,178277.3546946217
